timestamp_sec,latitude,longitude,altitude,irradiance_wm2,potential_solar_power_w,alt_diff,slope_rad
34690.90909090909,-26.579090909090908,27.51181818181818,1503.0,819.8911398780825,792.0148411222276,-152.0,-0.07903502276598905
35018.181818181816,-26.566262626262624,27.494141414141414,1740.0,836.7029718520298,808.2550708090607,237.0,0.12286743164020848
35345.454545454544,-26.553434343434343,27.476464646464645,1519.0,853.1801426802174,824.1720178290899,-221.0,-0.1146476635299869
35672.72727272727,-26.54060606060606,27.458787878787877,1467.0,869.2895830573952,839.7337372334438,-52.0,-0.027088109455289517
36000.0,-26.527777777777775,27.44111111111111,1446.0,884.9984721406322,854.9085240878507,-21.0,-0.01094166859631802
36327.27272727273,-26.514949494949494,27.42343434343434,1423.0,900.2743476590128,869.6650198386062,-23.0,-0.011983636846444401
36654.545454545456,-26.50212121212121,27.405757575757573,1427.0,915.0852166178877,883.9723192528794,4.0,0.0020842075084330004
36981.818181818184,-26.48929292929293,27.388080808080808,1458.0,929.3996660754062,897.8000774288423,31.0,0.016151227017871948
37309.09090909091,-26.476464646464645,27.37040404040404,1482.0,943.1869734594301,911.1186163618094,24.0,0.01250461135467027
37636.36363636363,-26.46363636363636,27.35272727272727,1587.0,956.417215886543,923.8990305464005,105.0,0.05465603686634033
37963.63636363637,-26.45080808080808,27.335050505050503,1588.0,969.0613779418413,936.1132910918186,1.0,0.0005210525844244135
38290.90909090909,-26.437979797979796,27.317373737373735,1560.0,981.0914573785702,947.7343478276987,-28.0,-0.014588438679894882
38618.181818181816,-26.425151515151516,27.299696969696967,1529.0,992.4805682005451,958.7362288817264,-31.0,-0.016151227017871948
38945.454545454544,-26.41232323232323,27.2820202020202,1506.0,1003.2030405976286,969.094137217309,-23.0,-0.011983636846444401
39272.72727272727,-26.399494949494947,27.264343434343434,1494.0,1013.2345172154019,978.784543630078,-12.0,-0.006252550097811008
39600.0,-26.386666666666667,27.246666666666666,1467.0,1022.5520452544445,987.7852757157932,-27.0,-0.014067493019995162
39927.27272727273,-26.373838383838383,27.228989898989898,1453.0,1031.1341639123468,996.0756023393269,-14.0,-0.007294607454174508
40254.545454545456,-26.3610101010101,27.21131313131313,1472.0,1038.9609867025601,1003.636313154673,19.0,0.00989967658601847
40581.81818181818,-26.348181818181818,27.19363636363636,1495.0,1046.0142782083879,1010.4497927493026,23.0,0.011983636846444401
40909.09090909091,-26.335353535353534,27.175959595959593,1518.0,1052.2775248576409,1016.500089012481,23.0,0.011983636846444401
41236.36363636363,-26.322525252525253,27.158282828282825,1469.0,1057.735999333585,1021.7729753562429,-49.0,-0.02552603343150156
41563.63636363636,-26.30969696969697,27.14060606060606,1460.0,1062.3768182706094,1026.2560064494087,-9.0,-0.004689439309003358
41890.90909090909,-26.296868686868685,27.122929292929292,1516.0,1066.1889929182767,1029.938567159055,56.0,0.029170670504261313
42218.181818181816,-26.284040404040404,27.105252525252524,1533.0,1069.1634724949176,1032.8119144300904,17.0,0.00885766307748564
42545.454545454544,-26.27121212121212,27.087575757575756,1510.0,1071.2931799913806,1034.8692118716735,-23.0,-0.011983636846444401
42872.72727272727,-26.258383838383835,27.069898989898988,1550.0,1072.573040226697,1036.1055568589893,40.0,0.020839088158830288
43200.0,-26.245555555555555,27.05222222222222,1536.0,1073.0,1036.5179999999998,-14.0,-0.007294607454174508
43527.27272727273,-26.23272727272727,27.03454545454545,1524.0,1072.573040226697,1036.1055568589893,-12.0,-0.006252550097811008
43854.545454545456,-26.21989898989899,27.016868686868683,1524.0,1071.2931799913806,1034.8692118716735,0.0,0.0
44181.81818181818,-26.207070707070706,26.99919191919192,1542.0,1069.1634724949176,1032.8119144300904,18.0,0.009378672377648686
44509.09090909091,-26.19424242424242,26.98151515151515,1564.0,1066.1889929182767,1029.938567159055,22.0,0.011462655832762354
44836.36363636363,-26.18141414141414,26.963838383838382,1540.0,1062.3768182706094,1026.2560064494087,-24.0,-0.01250461135467027
45163.63636363636,-26.168585858585857,26.946161616161614,1524.0,1057.735999333585,1021.7729753562429,-16.0,-0.00833664896831535
45490.90909090909,-26.155757575757576,26.928484848484846,1526.0,1052.2775248576409,1016.500089012481,2.0,0.0010421048859218086
45818.181818181816,-26.142929292929292,26.910808080808078,1526.0,1046.0142782083883,1010.4497927493029,0.0,0.0
46145.454545454544,-26.130101010101008,26.893131313131313,1522.0,1038.9609867025601,1003.636313154673,-4.0,-0.0020842075084330004
46472.72727272727,-26.117272727272727,26.875454545454545,1543.0,1031.1341639123468,996.0756023393269,21.0,0.01094166859631802
46800.0,-26.104444444444443,26.857777777777777,1567.0,1022.5520452544445,987.7852757157932,24.0,0.01250461135467027
47127.27272727273,-26.09161616161616,26.84010101010101,1542.0,1013.2345172154019,978.784543630078,-25.0,-0.013025579074767249
47454.545454545456,-26.078787878787878,26.82242424242424,1558.0,1003.2030405976286,969.094137217309,16.0,0.00833664896831535
47781.81818181818,-26.065959595959594,26.804747474747472,1549.0,992.4805682005453,958.7362288817267,-9.0,-0.004689439309003358
48109.09090909091,-26.053131313131313,26.787070707070704,1523.0,981.0914573785702,947.7343478276987,-26.0,-0.01354653972408474
48436.36363636363,-26.04030303030303,26.769393939393936,1532.0,969.0613779418413,936.1132910918186,9.0,0.004689439309003358
48763.63636363637,-26.027474747474745,26.75171717171717,1540.0,956.417215886543,923.8990305464005,8.0,0.004168396909758042
49090.90909090909,-26.014646464646464,26.734040404040403,1555.0,943.1869734594301,911.1186163618094,15.0,0.007815630332939498
49418.181818181816,-26.00181818181818,26.716363636363635,1557.0,929.3996660754062,897.8000774288423,2.0,0.0010421048859218086
49745.454545454544,-25.9889898989899,26.698686868686867,1580.0,915.0852166178877,883.9723192528794,23.0,0.011983636846444401
50072.72727272727,-25.976161616161615,26.6810101010101,1593.0,900.2743476590128,869.6650198386062,13.0,0.006773580614850628
50400.0,-25.96333333333333,26.66333333333333,1598.0,884.9984721406322,854.9085240878507,5.0,0.002605257263601056
50727.27272727272,-25.95050505050505,26.645656565656566,1596.0,869.2895830573956,839.733737233444,-2.0,-0.0010421048859218086
51054.545454545456,-25.937676767676766,26.627979797979798,1585.0,853.1801426802174,824.1720178290899,-11.0,-0.0057315161859107745
51381.81818181818,-25.924848484848482,26.61030303030303,1564.0,836.7029718520301,808.255070809061,-21.0,-0.01094166859631802
51709.09090909091,-25.9120202020202,26.59262626262626,1558.0,819.8911398780825,792.0148411222276,-6.0,-0.003126305604152455
52036.36363636363,-25.899191919191917,26.574949494949493,1543.0,802.7778555203288,775.4834084326375,-15.0,-0.007815630332939498
52363.63636363636,-25.886363636363637,26.557272727272725,1537.0,785.3963595896846,758.6928833636352,-6.0,-0.003126305604152455
52690.90909090909,-25.873535353535352,26.539595959595957,1539.0,767.7798196114403,741.6753057446512,2.0,0.0010421048859218086
53018.181818181816,-25.86070707070707,26.52191919191919,1540.0,749.9612270179302,724.4625452993205,1.0,0.0005210525844244135
53345.454545454544,-25.847878787878788,26.504242424242424,1537.0,731.9732972990171,707.0862051908504,-3.0,-0.0015631566215660888
53672.72727272727,-25.835050505050503,26.486565656565656,1541.0,713.8483735151667,689.577528815651,4.0,0.0020842075084330004
54000.0,-25.822222222222223,26.468888888888888,1481.0,695.6183335501603,671.9673102094548,-60.0,-0.03125297848263412
54327.27272727272,-25.80939393939394,26.45121212121212,1466.0,677.3145014510249,654.2858084016899,-15.0,-0.007815630332939498
54654.545454545456,-25.796565656565654,26.43353535353535,1439.0,658.9675631718235,636.5626660239814,-27.0,-0.014067493019995162
54981.81818181818,-25.783737373737374,26.415858585858583,1498.0,640.6074870057898,618.8268324475929,59.0,0.030732426198468155
55309.09090909091,-25.77090909090909,26.39818181818182,1473.0,622.263448957141,601.1064916925981,-25.0,-0.013025579074767249
55636.36363636363,-25.758080808080805,26.38050505050505,1441.0,603.9637632701026,583.4289953189191,-32.0,-0.016672139308203562
55963.63636363636,-25.745252525252525,26.362828282828282,1457.0,585.735818298354,565.8208004762099,16.0,0.00833664896831535
